State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes,Enrollment_Date,Newly_Eligible_Percentage
North Carolina ,3157060,666537.0,666537.0,0.0,2026,2,2025,5,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023.",2025-05-01,100.0
North Dakota ,108269,25226.0,23834.0,1392.0,2026,2,2025,5,,2025-05-01,94.48188377071276
Ohio ,3024698,710925.0,710734.0,191.0,2026,2,2025,5,,2025-05-01,99.97313359355769
Oklahoma ,979998,242871.0,242871.0,0.0,2026,2,2025,5,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021.",2025-05-01,100.0
Oregon ,1302806,687282.0,571689.0,115593.0,2026,2,2025,5,,2025-05-01,83.18113961954482
Pennsylvania ,2975636,831851.0,782776.0,49075.0,2026,2,2025,5,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015.",2025-05-01,94.10050598003728
Puerto Rico ,1334958,609332.0,,609332.0,2026,2,2025,5,,2025-05-01,
Rhode Island ,308486,77267.0,77267.0,0.0,2026,2,2025,5,,2025-05-01,100.0
South Carolina ,1241304,,,,2026,2,2025,5,,2025-05-01,
South Dakota ,133710,29979.0,29979.0,0.0,2026,2,2025,5,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023.",2025-05-01,100.0
Tennessee ,1503764,,,,2026,2,2025,5,,2025-05-01,
Texas ,4384932,,,,2026,2,2025,5,,2025-05-01,
Utah ,339432,83597.0,82430.0,1167.0,2026,2,2025,5,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020.",2025-05-01,98.60401689055827
Vermont ,165517,62603.0,0.0,62603.0,2026,2,2025,5,,2025-05-01,0.0
Virgin Islands ,20692,8024.0,,8024.0,2026,2,2025,5,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015.",2025-05-01,
Virginia ,1730454,642093.0,642093.0,0.0,2026,2,2025,5,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019.",2025-05-01,100.0
Washington ,1818674,603189.0,578700.0,24489.0,2026,2,2025,5,,2025-05-01,95.94007848286358
West Virginia ,511558,170716.0,170716.0,0.0,2026,2,2025,5,,2025-05-01,100.0
Wisconsin ,1217237,,,,2026,2,2025,5,,2025-05-01,
Wyoming ,66503,,,,2026,2,2025,5,,2025-05-01,
