State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"Mississippi ",650323,,,,2026,2,2025,5,
"Missouri ",1201758,349743.0,349743.0,0.0,2026,2,2025,5,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ",209214,75913.0,75913.0,0.0,2026,2,2025,5,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ",18258,,,,2026,2,2025,5,
"Nebraska ",340923,70597.0,68415.0,2182.0,2026,2,2025,5,
"Nevada ",722468,290022.0,290022.0,0.0,2026,2,2025,5,
"New Hampshire ",182838,61363.0,60376.0,987.0,2026,2,2025,5,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ",1660953,566036.0,566036.0,0.0,2026,2,2025,5,
"New Mexico ",812278,250700.0,250700.0,0.0,2026,2,2025,5,
"New York ",6879680,1999153.0,285333.0,1713820.0,2026,2,2025,5,
"North Carolina ",3157060,666537.0,666537.0,0.0,2026,2,2025,5,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023."
"North Dakota ",108269,25226.0,23834.0,1392.0,2026,2,2025,5,
"Ohio ",3024698,710925.0,710734.0,191.0,2026,2,2025,5,
"Oklahoma ",979998,242871.0,242871.0,0.0,2026,2,2025,5,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ",1302806,687282.0,571689.0,115593.0,2026,2,2025,5,
"Pennsylvania ",2975636,831851.0,782776.0,49075.0,2026,2,2025,5,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ",1334958,609332.0,,609332.0,2026,2,2025,5,
"Rhode Island ",308486,77267.0,77267.0,0.0,2026,2,2025,5,
"South Carolina ",1241304,,,,2026,2,2025,5,
